,que seja,pode ser,mais que,que é,é que,que lhe,que me
Total,0.6324,0.6493,1.1129,1.8352,2.3079,3.0092,3.4531
Average,0.0486,0.0499,0.0856,0.1412,0.1775,0.2315,0.2656
helena - machado,0.016,0.0288,0.125,0.1603,0.1122,0.391,0.1667
iracema - jose,0.0208,0.0625,0.125,0.1458,0.0833,0.375,0.1875
Memorias postumas de bras cubas - Machado,0.005,0.0302,0.0578,0.1759,0.2513,0.1407,0.3392
O Alienista - Machado de Assis,0.0526,0.0526,0.1404,0.1754,0.3333,0.1754,0.0702
O emprestimo - Machado,0.087,0.087,0.0435,0.0435,0.4348,0.2609,0.0435
o espelho - machado,0.05,0.1,0.05,0.05,0.2,0.05,0.5
O gaucho - jose,0.029,0.0193,0.1111,0.1932,0.0918,0.3865,0.1691
senhora - jose,0.0225,0.0193,0.0611,0.135,0.1125,0.4341,0.2154
teoria do medalhao - machado,0.25,0.125,0.0625,0.25,0.1875,0.0625,0.0625
a_viuvinha - jose,0.0274,0.0411,0.1233,0.0822,0.0411,0.3836,0.3014
cincominutos - jose,0.04,0.02,0.04,0.1,0.09,0.08,0.63
diva - jose,0.0132,0.0132,0.0789,0.1776,0.0855,0.1579,0.4737
Dom Casmurro - Machado,0.0189,0.0503,0.0943,0.1462,0.2846,0.1116,0.294
